"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:3FNoShKmJkVElO7J43RreL","Terminal Velocity","spotify:artist:4zvIE8a1h7L0IED4r4qKk1","John Petrucci","spotify:album:0ThCSFfHT7zTobzMoDH4vu","Terminal Velocity","spotify:artist:4zvIE8a1h7L0IED4r4qKk1","John Petrucci","2020-08-28","https://i.scdn.co/image/ab67616d0000b2735634995bd329d20a212ce948","1","1","367706","https://p.scdn.co/mp3-preview/4fd0558c9b896ea8622d35338211d7411685630b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QM6P42091509","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-02T17:19:50Z"
"spotify:track:43YC4iYmSsYueViJR4dBGA","Nothing Else Matters","spotify:artist:5YGY8feqx7naU7z4HrwZM6, spotify:artist:4olE3I5QU0dvSR7LIpqTXc, spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk, spotify:artist:3rROvEsUJJ9y55g1PLaA16, spotify:artist:4DW34vji6G9GgGY0k2mic7","Miley Cyrus, WATT, Elton John, Yo-Yo Ma, Robert Trujillo, Chad Smith","spotify:album:0aJexlAjIMTzRARD3KifWc","Nothing Else Matters","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2021-06-22","https://i.scdn.co/image/ab67616d0000b273d8184df2d24ff39b63ab0c3c","1","1","395785","https://p.scdn.co/mp3-preview/bcf490a6ab50d1ac61ebaa5b349dd97e51fe413c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QMKHM2100037","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-03T18:03:54Z"
"spotify:track:4UpehRX0AFfdhFX2ZQNETh","This World Can't Tear Us Apart","spotify:artist:278ZYwGhdK6QTzE3MFePnP","Trivium","spotify:album:42MixogSAsobX5po649Y0j","The Crusade","spotify:artist:278ZYwGhdK6QTzE3MFePnP","Trivium","2006-01-01","https://i.scdn.co/image/ab67616d0000b2734e00ad1ee63e0ce4d40af535","1","9","210253","https://p.scdn.co/mp3-preview/42b58c6be54f17ce49b97968a07a54b12b4069e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","NLA320682506","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-03T18:14:16Z"
"spotify:track:5yDJpu0xh0d1w13gXaE3lS","The Heart from Your Hate","spotify:artist:278ZYwGhdK6QTzE3MFePnP","Trivium","spotify:album:3qq44o8Qqvz5JQ7b5AevLT","The Sin and the Sentence","spotify:artist:278ZYwGhdK6QTzE3MFePnP","Trivium","2017-10-20","https://i.scdn.co/image/ab67616d0000b27349297ff523b7098a50195711","1","4","243853","https://p.scdn.co/mp3-preview/bc97e3c43275157ed528c64336b27c8ba583d821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","NLA321700256","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-03T18:14:46Z"
"spotify:track:1PhLYngBKbeDtdmDzCg3Pb","Sad But True","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","2","323933","https://p.scdn.co/mp3-preview/ec6e85a17aeb3e441eabbfb110013965b76b2538?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","GBF089190014","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-03T20:24:59Z"
"spotify:track:23DExviO7cU7uytDf0XekC","Spiderwebs","spotify:artist:0cQbJU1aAzvbEmTuljWLlF","No Doubt","spotify:album:22MtHr01EzeL6jmc5uwpHC","Tragic Kingdom","spotify:artist:0cQbJU1aAzvbEmTuljWLlF","No Doubt","1995-10-10","https://i.scdn.co/image/ab67616d0000b273ada8d00d23273a097e6df364","1","1","266733","https://p.scdn.co/mp3-preview/07169c8f375aa03c09827fa2db1cbab576ee3d63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USIR19500270","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-04T05:25:46Z"
"spotify:track:6oYGLiSdsWqvgsGAeVrRfF","Out of the Ashes","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","spotify:album:1ErltKGNVk6hw9OWfSq6Xe","The Divine Wings of Tragedy (Special Edition)","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","1997","https://i.scdn.co/image/ab67616d0000b273f31a051dc45d0216ac19f0ba","1","3","220266","https://p.scdn.co/mp3-preview/1143fe5c5f75be6f80254adb1c173c2089ab8082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QM3MF1700022","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-04T05:52:31Z"
"spotify:track:2dXsILW8gzkosqleHAvl0v","For Whom The Bell Tolls - Remastered","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:05DePtm7oQMdL3Uzw2Jmsc","Ride The Lightning (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-27","https://i.scdn.co/image/ab67616d0000b2739ad3e9959f48d513886b8933","1","3","309973","https://p.scdn.co/mp3-preview/9e6c4fd0a75f3af608b3fcb746204fcd2cab9011?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","QMKHM1600096","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-04T17:53:20Z"
"spotify:track:3xTnnRvOG3udFH9R3G66mk","Electric Messiah","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","spotify:album:2deDTqKZ9NiPV8i46ygd6k","Iconoclast","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","2011-06-17","https://i.scdn.co/image/ab67616d0000b2733c6e84c323fd27921ec41066","1","8","373600","https://p.scdn.co/mp3-preview/b8bf7db90177f11b79a951893f6ecda80f41a362?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","DED831000684","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-07T06:15:48Z"
"spotify:track:3QZkVFhTvGwOLzIb85wpGO","Masquerade","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","spotify:album:6DxbC5BG4iiktFTWbzqqIV","The Odyssey","spotify:artist:4MnZkh4dpNmTMPxkl4Ev5L","Symphony X","2002-11-05","https://i.scdn.co/image/ab67616d0000b27312c2256f2de25108eab58148","1","9","358955","https://p.scdn.co/mp3-preview/134ddfa2c03208c26626011e09b570cf0fb4d1c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QM3MF1700184","spotify:user:75p2140e0alu9ardn51dih4ci","2021-07-07T06:16:50Z"
